ridership_route_code,current_garage,year_month,day_type,on_time_percent,avg_riders,day_count,daily_trip_dist,daily_trip_count,year,month,current_garage_code,day_type_code
001,Ross,201701,WEEKDAY,0.6837,1552,22,1158.621,47,2017,01,3,2
001,Ross,201701,SAT.,0.6977,970,4,739.695,30,2017,01,3,0
001,Ross,201701,SUN.,0.628,737,5,641.069,26,2017,01,3,1
002,Ross,201701,WEEKDAY,0.6978,1020,22,1006.109,54,2017,01,3,2
004,Ross,201701,WEEKDAY,0.7438,684,22,283.652,46,2017,01,3,2
004,Ross,201701,SAT.,0.7042,218,4,198.913,26,2017,01,3,0
006,Ross,201701,WEEKDAY,0.8049,1135,22,316.359,63,2017,01,3,2
006,Ross,201701,SAT.,0.7361,496,4,160.656,32,2017,01,3,0
006,Ross,201701,SUN.,0.7749,378,5,160.656,32,2017,01,3,1
007,Ross,201701,WEEKDAY,0.6233,147,22,67.482,12,2017,01,3,2
008,Ross,201701,WEEKDAY,0.7239,3071,22,1141.792,142,2017,01,3,2
008,Ross,201701,SAT.,0.735,1480,4,580.592,72,2017,01,3,0
008,Ross,201701,SUN.,0.7475,909,5,370.096,46,2017,01,3,1
011,Ross,201701,WEEKDAY,0.7438,546,22,194.6,50,2017,01,3,2
011,Ross,201701,SAT.,0.6715,208,4,101.192,26,2017,01,3,0
011,Ross,201701,SUN.,0.7362,111,5,70.056,18,2017,01,3,1
012,Ross,201701,WEEKDAY,0.6842,933,22,649.424,38,2017,01,3,2
012,Ross,201701,SAT.,0.6137,1070,4,819.128,48,2017,01,3,0
012,Ross,201701,SUN.,0.7228,670,5,677.355,39,2017,01,3,1
013,Ross,201701,WEEKDAY,0.6795,2006,22,836.58,86,2017,01,3,2
013,Ross,201701,SAT.,0.7552,1253,4,718.95,74,2017,01,3,0
013,Ross,201701,SUN.,0.781,676,5,409.04,42,2017,01,3,1
014,Ross,201701,WEEKDAY,0.7055,1134,22,1315.064,79,2017,01,3,2
014,Ross,201701,SAT.,0.7178,478,4,566.083,34,2017,01,3,0
014,Ross,201701,SUN.,0.7537,337,5,499.485,30,2017,01,3,1
015,Ross,201701,WEEKDAY,0.7717,1000,22,332.191,59,2017,01,3,2
015,Ross,201701,SAT.,0.8209,672,4,281.575,50,2017,01,3,0
015,Ross,201701,SUN.,0.709,388,5,180.208,32,2017,01,3,1
016,Ross,201701,WEEKDAY,0.7411,3736,22,988.89,140,2017,01,3,2
016,Ross,201701,SAT.,0.7729,2070,4,649.842,92,2017,01,3,0
016,Ross,201701,SUN.,0.7843,1115,5,508.572,72,2017,01,3,1
017,Ross,201701,WEEKDAY,0.7196,1137,22,496.488,68,2017,01,3,2
017,Ross,201701,SAT.,0.7238,499,4,254.058,42,2017,01,3,0
017,Ross,201701,SUN.,0.6811,357,5,241.96,40,2017,01,3,1
018,Ross,201701,WEEKDAY,0.7322,83,22,69.386,23,2017,01,3,2
019L,Ross,201701,WEEKDAY,0.6682,633,22,203.823,21,2017,01,3,2
020,Collier,201701,WEEKDAY,0.7552,526,22,645.519,42,2017,01,0,2
021,Collier,201701,WEEKDAY,0.6752,1164,22,855.713,61,2017,01,0,2
021,Collier,201701,SAT.,0.7482,480,4,541.861,38,2017,01,0,0
021,Collier,201701,SUN.,0.7237,253,5,313.709,22,2017,01,0,1
022,Collier,201701,WEEKDAY,0.7054,765,22,403.121,46,2017,01,0,2
022,Collier,201701,SAT.,0.763,424,4,227.851,26,2017,01,0,0
024,Collier,201701,WEEKDAY,0.6794,1469,22,761.255,60,2017,01,0,2
024,Collier,201701,SAT.,0.7282,1128,4,654.28,44,2017,01,0,0
024,Collier,201701,SUN.,0.6752,838,5,565.06,38,2017,01,0,1
026,Collier,201701,WEEKDAY,0.7258,966,22,494.542,70,2017,01,0,2
026,Collier,201701,SAT.,0.8118,504,4,254.762,36,2017,01,0,0
026,Collier,201701,SUN.,0.8028,314,5,198.162,28,2017,01,0,1
027,Collier,201701,WEEKDAY,0.7586,1059,22,541.302,66,2017,01,0,2
027,Collier,201701,SAT.,0.8136,634,4,278.09,34,2017,01,0,0
027,Collier,201701,SUN.,0.7656,418,5,262.342,32,2017,01,0,1
028X,East Liberty,201701,WEEKDAY,0.633,1744,22,1034.02,40,2017,01,1,2
028X,East Liberty,201701,SAT.,0.6699,1340,4,1034.02,40,2017,01,1,0
028X,East Liberty,201701,SUN.,0.7555,1174,5,1034.02,40,2017,01,1,1
029,Collier,201701,WEEKDAY,0.6138,825,22,650.898,36,2017,01,0,2
031,Collier,201701,WEEKDAY,0.7031,1510,22,815.397,66,2017,01,0,2
031,Collier,201701,SAT.,0.7382,768,4,420.053,34,2017,01,0,0
031,Collier,201701,SUN.,0.7896,547,5,395.344,32,2017,01,0,1
036,Collier,201701,WEEKDAY,0.6089,541,22,425.796,42,2017,01,0,2
038,Collier,201701,WEEKDAY,0.6091,2353,22,1269.159,124,2017,01,0,2
038,Collier,201701,SAT.,0.7562,333,4,269.213,28,2017,01,0,0
038,Collier,201701,SUN.,0.6667,160,5,230.754,24,2017,01,0,1
039,Collier,201701,WEEKDAY,0.763,1448,22,569.646,84,2017,01,0,2
039,Collier,201701,SAT.,0.708,182,4,162.756,24,2017,01,0,0
040,Collier,201701,WEEKDAY,0.7754,588,22,272.496,48,2017,01,0,2
040,Collier,201701,SAT.,0.7788,216,4,158.956,28,2017,01,0,0
040,Collier,201701,SUN.,0.7109,149,5,147.602,26,2017,01,0,1
041,Collier,201701,WEEKDAY,0.6871,1652,22,901.854,76,2017,01,0,2
041,Collier,201701,SAT.,0.8469,464,4,427.194,36,2017,01,0,0
041,Collier,201701,SUN.,0.5709,279,5,284.796,24,2017,01,0,1
043,Collier,201701,WEEKDAY,0.6667,701,22,224.642,44,2017,01,0,2
043,Collier,201701,SAT.,0.5645,279,4,183.798,36,2017,01,0,0
043,Collier,201701,SUN.,0.6174,228,5,163.376,32,2017,01,0,1
044,Collier,201701,WEEKDAY,0.7661,968,22,743.136,64,2017,01,0,2
044,Collier,201701,SAT.,0.7324,285,4,170.52,28,2017,01,0,0
044,Collier,201701,SUN.,0.7977,209,5,170.52,28,2017,01,0,1
048,Collier,201701,WEEKDAY,0.7288,2957,22,538.604,88,2017,01,0,2
048,Collier,201701,SAT.,0.6218,1867,4,452.917,74,2017,01,0,0
048,Collier,201701,SUN.,0.757,877,5,269.302,44,2017,01,0,1
051,West Mifflin,201701,WEEKDAY,0.6963,7398,22,1990.938,206,2017,01,4,2
051,West Mifflin,201701,SAT.,0.6871,4542,4,1687.914,122,2017,01,4,0
051,West Mifflin,201701,SUN.,0.74,2743,5,1054.998,76,2017,01,4,1
051L,West Mifflin,201701,WEEKDAY,0.6764,702,22,122.263,26,2017,01,4,2
052L,West Mifflin,201701,WEEKDAY,0.5919,408,22,240.82,20,2017,01,4,2
053,West Mifflin,201701,SAT.,0.764,299,4,307.326,34,2017,01,4,0
053L,West Mifflin,201701,WEEKDAY,0.6432,1288,22,913.126,55,2017,01,4,2
054,Ross,201701,WEEKDAY,0.6554,3775,22,1376.747,114,2017,01,3,2
054,Ross,201701,SAT.,0.6184,2311,4,970.692,81,2017,01,3,0
054,Ross,201701,SUN.,0.6581,1190,5,527.564,44,2017,01,3,1
055,West Mifflin,201701,WEEKDAY,0.8016,803,22,844.173,35,2017,01,4,2
